"Story","Title","Result","Date","Stability","Duration (s)"
"Automatizar Floristeriamundoflor","Agregar producto al carrito","SUCCESS","2024-06-07T16:36:46.6636376-05:00[America/Bogota]","0.0","37.38"
"Automatizar Floristeriamundoflor","Agregar producto al carrito2","SUCCESS","2024-06-07T16:37:24.0858842-05:00[America/Bogota]","0.0","29.35"
