"Story","Title","Result","Date","Stability","Duration (s)"
"Automatizar Floristeriamundoflor","Agregar producto al carrito","ERROR","2024-06-14T10:29:01.1911356-05:00[America/Bogota]","0.0","42.66"
"Automatizar Floristeriamundoflor","Agregar producto al carrito2","ERROR","2024-06-14T10:29:44.0125843-05:00[America/Bogota]","0.0","23.65"
